"","name","FGA","FGM","Pts","exFGM","exPts","FGMDiff","PtsDiff"
"244","Jerel McNeal",11,3,7,4.93103777421245,10.5916145572065,-1.93103777421245,-3.59161455720653
"245","Marcus Thornton",340,138,330,139.807959727167,328.322020890392,-1.80795972716689,1.67797910960797
"246","Darius Miller",7,1,2,2.75766866871516,5.87907660731051,-1.75766866871516,-3.87907660731051
"247","DeJuan Blair",57,26,52,27.746522493738,55.493044987476,-1.746522493738,-3.49304498747599
"248","Larry Drew",57,20,44,21.7179046121516,51.6198700206585,-1.71790461215161,-7.61987002065845
"249","Reggie Williams",39,15,33,16.6771145584915,40.4432041648995,-1.67711455849153,-7.44320416489946
"250","Tim Hardaway Jr.",706,275,669,276.581408158315,670.308119813883,-1.5814081583149,-1.30811981388251
"251","Sean Kilpatrick",19,6,16,7.57606309835306,19.669068286472,-1.57606309835306,-3.66906828647199
"252","Michael Beasley",212,92,192,93.4618245044764,199.99751666184,-1.46182450447637,-7.99751666183997
"253","Drew Gordon",19,8,16,9.3757342188883,19.9218944208722,-1.3757342188883,-3.92189442087223
"254","Bruno Caboclo",12,4,10,5.342078329457,11.8545826420096,-1.342078329457,-1.85458264200963
"255","Shawne Williams",293,119,301,120.300088134508,303.784999569663,-1.30008813450787,-2.78499956966311
"256","Nick Young",473,174,431,175.239285195671,422.201295499279,-1.23928519567147,8.79870450072116
"257","Monta Ellis",1353,602,1285,603.194104675585,1306.8240771676,-1.19410467558509,-21.8240771676017
"258","Kenyon Martin",21,9,18,10.1777818776007,20.3555637552014,-1.17778187760069,-2.35556375520138
"259","Miroslav Raduljica",8,3,6,4.17441111869303,8.34882223738606,-1.17441111869303,-2.34882223738606
"260","Shayne Whittington",42,19,39,20.1054941398704,42.3024769874136,-1.10549413987041,-3.30247698741359
"261","Cory Jefferson",155,71,144,72.0415107230613,149.209122580978,-1.04151072306132,-5.20912258097786
"262","Isaiah Canaan",367,144,379,145.025655149399,372.291070525015,-1.02565514939869,6.70892947498533
"263","Elliot Williams",36,14,36,15.0221066091687,36.3289426509023,-1.0221066091687,-0.328942650902277
"264","Landry Fields",39,19,39,20.0161496730629,40.8389860593412,-1.01614967306287,-1.83898605934117
"265","Andre Dawkins",6,1,3,1.98662687680033,5.95988063040099,-0.98662687680033,-2.95988063040099
"266","Seth Curry",3,0,0,0.940812356979405,2.20782036613272,-0.940812356979405,-2.20782036613272
"267","David Wear",2,0,0,0.916032222677835,2.23540780196339,-0.916032222677835,-2.23540780196339
"268","Alex Kirk",4,1,2,1.87901377657087,3.75802755314174,-0.879013776570872,-1.75802755314174
"269","Toure Murry",5,2,4,2.85974297714983,5.71948595429966,-0.859742977149832,-1.71948595429966
"270","Earl Clark",30,11,26,11.8131882917096,28.7162311295282,-0.813188291709585,-2.71623112952818
"271","Steve Blake",327,122,321,122.790743254846,321.54024286484,-0.790743254845594,-0.540242864839911
"272","David Stockton",2,0,0,0.78310958700971,1.91792430664085,-0.78310958700971,-1.91792430664085
"273","Brendan Haywood",30,14,28,14.7194120194483,29.4388240388965,-0.719412019448265,-1.43882403889653
"274","A.J. Price",137,51,117,51.6086337883539,122.20312358641,-0.608633788353892,-5.20312358640975
